Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constante Name,Constante Value,Description classe,Classe fille
axes,,List of the Data1D objects corresponding to the axes,,[SciDataTool.Classes.Data],None,,,,,Data,_set_values,VERSION,1,Abstract class for fields (time or frequency domain),
FTparameters,,Tunable parameters for the Fourier Transforms,,dict,{},,,,,,comp_axes,,,,
values,,Values of the field,,ndarray,None,,,,,,compare_along,,,,
is_real,,To indicate if the signal is real (use only positive frequencies),,bool,True,,,,,,compare_magnitude_along,,,,
,,,,,,,,,,,compare_phase_along,,,,
,,,,,,,,,,,compress,,,,
,,,,,,,,,,,convert,,,,
,,,,,,,,,,,export_along,,,,
,,,,,,,,,,,extract_slices,,,,
,,,,,,,,,,,extract_slices_fft,,,,
,,,,,,,,,,,get_along,,,,
,,,,,,,,,,,get_axes,,,,
,,,,,,,,,,,get_data_along,,,,
,,,,,,,,,,,get_field,,,,
,,,,,,,,,,,get_harmonics,,,,
,,,,,,,,,,,get_magnitude_along,,,,
,,,,,,,,,,,get_phase_along,,,,
,,,,,,,,,,,has_period,,,,
,,,,,,,,,,,interpolate,,,,
,,,,,,,,,,,plot_2D_Data,,,,
,,,,,,,,,,,plot_2D_Data_Animated,,,,
,,,,,,,,,,,plot_3D_Data,,,,
,,,,,,,,,,,rebuild_symmetries,,,,
,,,,,,,,,,,set_Ftparameters,,,,
,,,,,,,,,,,orthogonal_mp,,,,
,,,,,,,,,,,plot,,,,
